Year,AgeGroup,Month,Unemployment,Date,MonthNum
2015,16 years and over,Jan,5.7,2015-01-01,1
2015,16 years and over,Feb,5.5,2015-02-01,2
2015,16 years and over,Mar,5.4,2015-03-01,3
2015,16 years and over,Apr,5.4,2015-04-01,4
2015,16 years and over,May,5.6,2015-05-01,5
2015,16 years and over,Jun,5.3,2015-06-01,6
2015,16 years and over,Jul,5.2,2015-07-01,7
2015,16 years and over,Aug,5.1,2015-08-01,8
2015,16 years and over,Sep,5.0,2015-09-01,9
2015,16 years and over,Oct,5.0,2015-10-01,10
2015,16 years and over,Nov,5.1,2015-11-01,11
2015,16 years and over,Dec,5.0,2015-12-01,12
2016,16 years and over,Jan,4.8,2016-01-01,1
2016,16 years and over,Feb,4.9,2016-02-01,2
2016,16 years and over,Mar,5.0,2016-03-01,3
2016,16 years and over,Apr,5.1,2016-04-01,4
2016,16 years and over,May,4.8,2016-05-01,5
2016,16 years and over,Jun,4.9,2016-06-01,6
2016,16 years and over,Jul,4.8,2016-07-01,7
2016,16 years and over,Aug,4.9,2016-08-01,8
2016,16 years and over,Sep,5.0,2016-09-01,9
2016,16 years and over,Oct,4.9,2016-10-01,10
2016,16 years and over,Nov,4.7,2016-11-01,11
2016,16 years and over,Dec,4.7,2016-12-01,12
2017,16 years and over,Jan,4.7,2017-01-01,1
2017,16 years and over,Feb,4.6,2017-02-01,2
2017,16 years and over,Mar,4.4,2017-03-01,3
2017,16 years and over,Apr,4.4,2017-04-01,4
2017,16 years and over,May,4.4,2017-05-01,5
2017,16 years and over,Jun,4.3,2017-06-01,6
2017,16 years and over,Jul,4.3,2017-07-01,7
2017,16 years and over,Aug,4.4,2017-08-01,8
2017,16 years and over,Sep,4.3,2017-09-01,9
2017,16 years and over,Oct,4.2,2017-10-01,10
2017,16 years and over,Nov,4.2,2017-11-01,11
2017,16 years and over,Dec,4.1,2017-12-01,12
2018,16 years and over,Jan,4.0,2018-01-01,1
2018,16 years and over,Feb,4.1,2018-02-01,2
2018,16 years and over,Mar,4.0,2018-03-01,3
2018,16 years and over,Apr,4.0,2018-04-01,4
